类型,案例类型,案例编号,状态,主题,指派给,案例设计,交易名称,系统模块,描述,案例执行,测试数据,测试步骤,预期结果,验证日期,测试轮次,专项测试,产品种类,开始日期,计划完成日期,% 完成
测试案例,正例,案例编号127,新建,工作台,,刘梦月,现场服务,内屏功能,批量制定联络计划测试,,理财经理登录,1.点击“批量制定客户联络计划”2.选择联络方式：网点服务；以及计划联系的时间；并选择联络目的，输入备注；5.点击“确认”按钮。,新增成功,,UAT-2,无,无,,,
测试案例,正例,案例编号128,新建,工作台,,刘梦月,现场服务,内屏功能,批量制定联络计划测试,,理财经理登录,1.点击“批量制定客户联络计划”2.选择联络方式：短信联系；以及计划联系的时间；并选择联络目的，输入备注；6.点击“确认”按钮。,新增成功,,UAT-2,无,无,,,
测试案例,正例,案例编号129,新建,工作台,,刘梦月,现场服务,内屏功能,取消功能测试,,理财经理登录,1.点击“批量制定客户联络计划”2.选择联络方式：短信联系；以及计划联系的时间；并选择联络目的，输入备注；7.点击“取消”按钮。,取消成功,,UAT-2,无,无,,,
测试案例,正例,案例编号130,新建,工作台,,刘梦月,现场服务,内屏功能,联络计划界面内容检查,,理财经理登录,"1、客户管理-联络计划
2、检查展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号131,新建,工作台,,刘梦月,现场服务,内屏功能,查看功能测试,,理财经理登录,1.点击“查看”2.回显查看联络计划对话框,回显成功,,UAT-2,无,无,,,
测试案例,正例,案例编号132,新建,工作台,,刘梦月,现场服务,内屏功能,查询联络计划界面内容检查,,理财经理登录,"1、客户管理-查询联络计划
2.检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号133,新建,工作台,,刘梦月,现场服务,内屏功能,输入客户管理功能的相关查询字段，检查查询结果是否与需求一致,,理财经理登录,1.根据情况输入“客户名称”、2.点击“查询”3.回显客户联络计划信息,查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号134,新建,工作台,,刘梦月,现场服务,内屏功能,查询按钮功能测试,,理财经理登录,1.根据情况输入“客户号”、2.点击“查询”3.回显客户联络计划信息,查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号135,新建,工作台,,刘梦月,现场服务,内屏功能,查询按钮功能测试,,理财经理登录,1.根据情况输入“手机号”、2.点击“查询”3.回显客户联络计划信息,查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号136,新建,工作台,,刘梦月,现场服务,内屏功能,查询按钮功能测试,,理财经理登录,1.根据情况输入“计划时间”、2.点击“查询”3.回显客户联络计划信息,查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号137,新建,工作台,,刘梦月,现场服务,内屏功能,查询按钮功能测试,,理财经理登录,1.根据情况输入“计划状态”、2.点击“查询”3.回显客户联络计划信息,查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号138,新建,工作台,,刘梦月,现场服务,内屏功能,重置按钮功能测试,,理财经理登录,1.点击“重置”按钮2.清空查询条件。,清空成功,,UAT-2,无,无,,,
测试案例,正例,案例编号139,新建,工作台,,刘梦月,现场服务,内屏功能,联络计划修改界面内容检查,,理财经理登录,"1、客户管理-联络计划
2、点击修改         3.检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号140,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“修改联络计划”按钮，进入修改联络计划页面
2.选择联络方式：“电话沟通” 3.点击“确定。”",修改成功,,UAT-2,无,无,,,
测试案例,正例,案例编号141,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“修改联络计划”按钮，进入修改联络计划页面
2.选择联络方式：“上门拜访” 3.点击“确定。”",修改成功,,UAT-2,无,无,,,
测试案例,正例,案例编号142,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“修改联络计划”按钮，进入修改联络计划页面
2.选择联络方式：“网点服务” 3.点击“确定。”",修改成功,,UAT-2,无,无,,,
测试案例,正例,案例编号143,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“修改联络计划”按钮，进入修改联络计划页面
2.选择联络方式：“短信联系” 3.点击“确定。”",修改成功,,UAT-2,无,无,,,
测试案例,正例,案例编号144,新建,工作台,,刘梦月,现场服务,内屏功能,取消功能测试,,理财经理登录,"1.点击“修改联络计划”按钮，进入修改联络计划页面
2.选择联络方式：“短信联系” 4.点击“取消。”",取消成功,,UAT-2,无,无,,,
测试案例,正例,案例编号145,新建,工作台,,刘梦月,现场服务,内屏功能,联络计划批量修改界面内容检查,,理财经理登录,"1、客户管理-联络计划
2、点击批量修改         3.检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号146,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“批量修改联络计划”按钮，进入批量修改联络计划页面
2.选择联络方式：“电话沟通” 3.点击“确定。”",修改成功,,UAT-2,无,无,,,
测试案例,正例,案例编号147,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“批量修改联络计划”按钮，进入批量修改联络计划页面
2.选择联络方式：“上门拜访” 3.点击“确定。”",修改成功,,UAT-2,无,无,,,
测试案例,正例,案例编号148,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“批量修改联络计划”按钮，进入批量修改联络计划页面
2.选择联络方式：“网点服务” 3.点击“确定。”",修改成功,,UAT-2,无,无,,,
测试案例,正例,案例编号149,新建,工作台,,刘梦月,现场服务,内屏功能,修改功能测试,,理财经理登录,"1.点击“批量修改联络计划”按钮，进入批量修改联络计划页面
2.选择联络方式：“短信联系” 3.点击“确定。”",修改成功,,UAT-2,无,无,,,
测试案例,正例,案例编号150,新建,工作台,,刘梦月,现场服务,内屏功能,取消功能测试,,理财经理登录,"1.点击“批量修改联络计划”按钮，进入批量修改联络计划页面
2.选择联络方式：“短信联系” 4.点击“取消。”",取消成功,,UAT-2,无,无,,,
测试案例,正例,案例编号151,新建,工作台,,刘梦月,现场服务,内屏功能,完成联络计划界面内容检查,,理财经理登录,"1、客户管理-联络计划
2、点击完成          3.检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号152,新建,工作台,,刘梦月,现场服务,内屏功能,完成功能保存测试,,理财经理登录,"1.点击“完成联络计划”按钮，进入完成联络计划页面
2.点击“完成沟通”，保存提交",提交成功,,UAT-2,无,无,,,
测试案例,正例,案例编号153,新建,工作台,,刘梦月,现场服务,内屏功能,正常返回界面，未保存成功测试,,理财经理登录,"1.点击“完成联络计划”按钮，进入完成联络计划页面
2.点击“未完成沟通”，保存提交",正常返回界面,,UAT-2,无,无,,,
测试案例,正例,案例编号155,新建,工作台,,刘梦月,现场服务,内屏功能,输入“机构名称”、“日期范围”字段，检查查询结果是否与需求一致,,理财经理登录,"1.点击“客户管理”菜单下的“客户生命周期”，进入客户生命周期管理界面
2.输入“机构名称 ”、“日期范围” 3.点击查询",查询成功,,UAT-2,无,无,,,
测试案例,正例,案例编号156,新建,工作台,,刘梦月,现场服务,内屏功能,重置按钮功能测试,,理财经理登录,1.点击“重置”按钮2.清空查询条件。,清空成功,,UAT-2,无,无,,,
测试案例,正例,案例编号157,新建,工作台,,刘梦月,现场服务,内屏功能,输入“客户号”、“客户姓名”字段，检查查询结果是否与需求一致,,理财经理登录,"1.客户点击“客户管理”菜单下的“客户生命周期”，进入客户生命周期管理界面
2.点击【查询】",1.页面显示字段、按钮与需求一致.,,UAT-2,无,无,,,
测试案例,正例,案例编号158,新建,工作台,,刘梦月,现场服务,内屏功能,输入“客户号”、“客户姓名”字段，检查查询结果是否与需求一致,,理财经理登录,"1.客户点击“客户管理”菜单下的“客户生命周期”，进入客户生命周期管理界面
2.点击【查询】",1.页面显示字段、按钮与需求一致.,,UAT-2,无,无,,,
测试案例,正例,案例编号159,新建,工作台,,刘梦月,现场服务,内屏功能,输入“客户号”、“客户姓名”字段，检查查询结果是否与需求一致,,理财经理登录,"1.客户点击“客户管理”菜单下的“客户生命周期”，进入客户生命周期管理界面
2.点击【查询】",1.页面显示字段、按钮与需求一致.,,UAT-2,无,无,,,
测试案例,正例,案例编号160,新建,工作台,,刘梦月,现场服务,内屏功能,输入“客户号”、“客户姓名”字段，检查查询结果是否与需求一致,,理财经理登录,"1.客户点击“客户管理”菜单下的“客户生命周期”，进入客户生命周期管理界面
2.点击【查询】",1.页面显示字段、按钮与需求一致.,,UAT-2,无,无,,,
测试案例,正例,案例编号161,新建,工作台,,刘梦月,现场服务,内屏功能,输入“客户号”、“客户姓名”字段，检查查询结果是否与需求一致,,理财经理登录,"1.客户点击“客户管理”菜单下的“客户生命周期”，进入客户生命周期管理界面
2.点击【查询】",1.页面显示字段、按钮与需求一致.,,UAT-2,无,无,,,
测试案例,正例,案例编号162,新建,工作台,,刘梦月,现场服务,内屏功能,联络记录界面内容检查,,理财经理登录,"1、客户管理-客户联络记录
2、检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号163,新建,工作台,,刘梦月,现场服务,内屏功能,新增联络记录界面内容检查,,理财经理登录,"1、客户管理-客户联络记录-新增客户联络记录
2、检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号164,新建,工作台,,刘梦月,现场服务,内屏功能,提示新增不成功,,理财经理登录,1.点击“客户联络新增”2输入.客户证件、客户编号、客户名称、话术模板选择特高级理财术语；3.展开详情，正常输入问题内容4.点击“确认”按钮即可并新增,新增成功,,UAT-2,无,无,,,
测试案例,反例,案例编号165,新建,工作台,,刘梦月,现场服务,内屏功能,提示新增不成功,,理财经理登录,1.点击“客户联络新增”2输入.客户证件、客户编号、客户名称、话术模板选择特高级理财术语；3.展开详情，输入问题内容超过50字4.点击“确认”按钮,新增不成功,,UAT-2,无,无,,,
测试案例,正例,案例编号166,新建,工作台,,刘梦月,现场服务,内屏功能,提示新增成功,,理财经理登录,1.点击“客户联络新增”2输入.客户证件、客户编号、客户名称、话术模板选择高一级理财术语；3.展开详情，正常输入问题内容4.点击“确认”按钮即可并新增,新增成功,,UAT-2,无,无,,,
测试案例,反例,案例编号167,新建,工作台,,刘梦月,现场服务,内屏功能,提示新增不成功,,理财经理登录,1.点击“客户联络新增”2输入.客户证件、客户编号、客户名称、话术模板选择高一级理财术语；3.展开详情，输入问题内容超过50字4.点击“确认”按钮,新增不成功,,UAT-2,无,无,,,
测试案例,正例,案例编号168,新建,工作台,,刘梦月,现场服务,内屏功能,提示新增成功,,理财经理登录,1.点击“客户联络新增”2输入.客户证件、客户编号、客户名称、话术模板选择大学生联络话术；3.展开详情，正常输入问题内容4.点击“确认”按钮即可并新增,新增成功,,UAT-2,无,无,,,
测试案例,反例,案例编号169,新建,工作台,,刘梦月,现场服务,内屏功能,提示新增不成功,,理财经理登录,1.点击“客户联络新增”2输入.客户证件、客户编号、客户名称、话术模板选择大学生联络话术；3.展开详情，输入问题内容超过50字。4.点击“确认”按钮,新增不成功,,UAT-2,无,无,,,
